Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,1318,1318.000000,25.244819,0.006907,0.038417,0.019154,0.017092,3.948981,0.000071,0.009340,0.002996,0.002786
RenderGraphExecute,6602,6602.000000,19.195238,0.000010,0.027495,0.002907,0.002370,9.574257,0.000003,0.027495,0.001450,0.000003
WaitForTasks,23182,23182.000000,12.873892,0.000001,0.015566,0.000555,0.000158,12.873892,0.000001,0.015566,0.000555,0.000158
SceneRender,2648,2648.000000,12.416314,0.000899,0.011957,0.004689,0.004585,1.777213,0.000001,0.002977,0.000671,0.000272
Scene,2648,2648.000000,9.182033,0.000895,0.008655,0.003468,0.003403,1.082782,0.000089,0.002386,0.000409,0.000321
RHI_Translate,76632,76632.000000,4.368615,0.000000,0.001597,0.000057,0.000000,0.081033,0.000000,0.000150,0.000001,0.000000
Frame,76632,76632.000000,4.260632,0.000000,0.001594,0.000056,0.000000,0.281012,0.000000,0.000603,0.000004,0.000000
SceneRender,64115,64115.000000,3.130157,0.000000,0.001594,0.000049,0.000000,0.615710,0.000000,0.000408,0.000010,0.000000
RenderGraphExecute,33098,33098.000000,1.995960,0.000000,0.001594,0.000060,0.000016,0.543953,0.000000,0.000639,0.000016,0.000000
RayTracingDynamicGeometry,2646,2646.000000,1.772137,0.000075,0.002602,0.000670,0.000509,0.008753,0.000001,0.000011,0.000003,0.000003
RayTracingDynamicGeometryUpdate,2646,2646.000000,1.453973,0.000036,0.002599,0.000549,0.000308,1.453973,0.000036,0.002599,0.000549,0.000308
Scene,18528,18528.000000,0.965011,0.000000,0.000630,0.000052,0.000019,0.080956,0.000000,0.000210,0.000004,0.000000
DiffuseIndirectAndAO,2647,2647.000000,0.889908,0.000037,0.001027,0.000336,0.000487,0.016019,0.000001,0.000053,0.000006,0.000005
GPUSkinCache_UpdateSkinningBatches,2635,2635.000000,0.816273,0.000001,0.001037,0.000310,0.000357,0.017983,0.000001,0.000123,0.000007,0.000007
SkinCacheDispatch,481354,481354.000000,0.798290,0.000000,0.000239,0.000002,0.000000,0.797742,0.000000,0.000239,0.000002,0.000000
LumenSceneUpdate:,2646,2646.000000,0.790242,0.000002,0.001578,0.000299,0.000225,0.058409,0.000002,0.000275,0.000022,0.000021
LumenScreenProbeGather,2647,2647.000000,0.749609,0.000035,0.000866,0.000283,0.000405,0.345594,0.000001,0.000644,0.000131,0.000196
Nanite::DrawGeometry,3919,3919.000000,0.724004,0.000069,0.000716,0.000185,0.000180,0.118237,0.000003,0.000496,0.000030,0.000033
ShadowDepths,1324,1324.000000,0.699029,0.000416,0.001037,0.000528,0.000510,0.022251,0.000007,0.000080,0.000017,0.000014
PrepareImageBasedVRS,1317,1317.000000,0.636285,0.000252,0.001165,0.000483,0.000473,0.007010,0.000001,0.000017,0.000005,0.000005
ContrastAdaptiveShading,1317,1317.000000,0.629276,0.000249,0.001160,0.000478,0.000470,0.629276,0.000249,0.001160,0.000478,0.000470
