Id,Name,Group
1196447025,GPU1,GPU
1196447026,GPU2,GPU
1448235845,VerseSampling,Verse
65536,GPU0-Graphics0,GPU
65538,GPU0-Copy0,GPU
65537,GPU0-Compute0,GPU
2,GameThread,
56,RHIThread,Render
57,RenderThread 0,Render
58,RTHeartBeat 0,Render
4,BackgroundThreadPool #0,BackgroundThreadPool
5,BackgroundThreadPool #1,BackgroundThreadPool
39,IOThreadPool #0,IOThreadPool
40,IOThreadPool #1,IOThreadPool
41,IOThreadPool #2,IOThreadPool
42,IOThreadPool #3,IOThreadPool
45,DDC IO ThreadPool #0,DDC IO ThreadPool
46,DDC IO ThreadPool #1,DDC IO ThreadPool
47,DDC IO ThreadPool #2,DDC IO ThreadPool
48,DDC IO ThreadPool #3,DDC IO ThreadPool
6,Foreground Worker #0,Foreground Workers
7,Foreground Worker #1,Foreground Workers
71,Foreground Worker (Standby #1),Foreground Workers
8,Background Worker #0,Background Workers
11,Background Worker #3,Background Workers
12,Background Worker #4,Background Workers
13,Background Worker #5,Background Workers
15,Background Worker #7,Background Workers
17,Background Worker #9,Background Workers
19,Background Worker #11,Background Workers
20,Background Worker #12,Background Workers
21,Background Worker #13,Background Workers
22,Background Worker #15,Background Workers
24,Background Worker #17,Background Workers
25,Background Worker #18,Background Workers
27,Background Worker #20,Background Workers
29,Background Worker #22,Background Workers
51,Background Worker #26,Background Workers
52,Background Worker #27,Background Workers
60,Foreground Worker (Standby #0),Background Workers
43,RHIInterruptThread,
44,RHISubmissionThread,
54,IoDispatcher,
35,FMediaTicker,
36,HttpManagerThread,
37,OnlineAsyncTaskThreadNull DefaultInstance(1),
38,OutputDeviceRedirector,
50,ShaderCompilingThread,
53,HttpConnectionPool,
55,FMessageBus.DefaultBus.Router,
59,AsyncTaskThread_1,
72,ScreenSaverInhibitor,
9,Background Worker #1,
10,Background Worker #2,
14,Background Worker #6,
16,Background Worker #8,
18,Background Worker #10,
23,Background Worker #14,
26,Background Worker #19,
28,Background Worker #16,
30,Background Worker #21,
31,Background Worker #23,
32,Background Worker #25,
33,Background Worker #24,
61,Background Worker (Standby #4),
62,Background Worker (Standby #8),
63,Background Worker (Standby #2),
64,Background Worker (Standby #9),
65,Background Worker (Standby #7),
66,Background Worker (Standby #0),
67,Background Worker (Standby #1),
68,Background Worker (Standby #6),
69,Background Worker (Standby #3),
70,Background Worker (Standby #5),
34,FAsyncWriter_client2,
49,FileSystemCacheStoreMaintainer,
73,CSVProfiler,
3,Trace,
